module	version	license_files
filippo.io/edwards25519	v1.2.0	modules/001-edwards25519-6c729efccdcd-LICENSE.txt
github.com/anmitsu/go-shlex	v0.0.0-20200514113438-38f4b401e2be	modules/002-go-shlex-1bc55d0a5654-LICENSE.txt
github.com/coder/websocket	v1.8.14	modules/003-websocket-2a9d8101be3b-LICENSE_txt.txt
github.com/creachadair/msync	v0.8.1	modules/004-msync-03f9b131a62a-LICENSE.txt
github.com/creack/pty	v1.1.24	modules/005-pty-61d8a0379024-LICENSE.txt
github.com/dblohm7/wingoes	v0.0.0-20240119213807-a09d6be7affa	modules/006-wingoes-d609ee68f287-LICENSE.txt
github.com/fxamacker/cbor/v2	v2.9.0	modules/007-v2-3c0a76b068a1-LICENSE.txt
github.com/gaissmai/bart	v0.26.1	modules/008-bart-a3a70fbe3cda-LICENSE.txt
github.com/go-json-experiment/json	v0.0.0-20260623181947-01eb4420fa68	modules/009-json-e549c5e60b87-LICENSE.txt
github.com/godbus/dbus/v5	v5.2.2	modules/010-v5-65a846c6c827-LICENSE.txt
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8	modules/011-groupcache-5ec6dd3c2269-LICENSE.txt
github.com/google/btree	v1.1.3	modules/012-btree-e4abff79393a-LICENSE.txt
github.com/hdevalence/ed25519consensus	v0.2.0	modules/013-ed25519consensus-37c5edaafc17-LICENSE.txt
github.com/jsimonetti/rtnetlink	v1.4.1	modules/014-rtnetlink-0f42c2d6f431-LICENSE_md.txt
github.com/klauspost/compress	v1.19.1	modules/015-compress-5e4c6b2d989c-LICENSE.txt
github.com/kr/fs	v0.1.0	modules/016-fs-18fd7ce4bb10-LICENSE.txt
github.com/mdlayher/netlink	v1.7.3-0.20250113171957-fbb4dce95f42	modules/017-netlink-728adf3540e2-LICENSE_md.txt
github.com/mdlayher/socket	v0.5.1	modules/018-socket-50427db0b951-LICENSE_md.txt
github.com/mitchellh/go-ps	v1.0.0	modules/019-go-ps-df5583e96e9e-LICENSE_md.txt
github.com/pires/go-proxyproto	v0.8.1	modules/020-go-proxyproto-24cc0bf2c789-LICENSE.txt
github.com/pkg/sftp	v1.13.6	modules/021-sftp-59632a3e91ca-LICENSE.txt
github.com/safchain/ethtool	v0.3.0	modules/022-ethtool-2ec0e29ae791-LICENSE.txt
github.com/tailscale/certstore	v0.1.1-0.20260409135935-3638fb84b77d	modules/023-certstore-dfd77f88ba27-LICENSE_md.txt
github.com/tailscale/gliderssh	v0.3.4-0.20260716005906-1a0f895faf28	modules/024-gliderssh-68632975fd60-LICENSE.txt
github.com/tailscale/go-winio	v0.0.0-20231025203758-c4f33415bf55	modules/025-go-winio-55b022ee36c3-LICENSE.txt
github.com/tailscale/hujson	v0.0.0-20260302212456-ecc657c15afd	modules/026-hujson-5ecd05c6f3c8-LICENSE.txt
github.com/tailscale/peercred	v0.0.0-20250107143737-35a0c7bd7edc	modules/027-peercred-52dcfd0fbde7-LICENSE.txt
github.com/tailscale/tailcat	v0.6.1-0.20260913000754-fd101889796a	modules/028-tailcat-a6e65ee922f1-LICENSE.txt
github.com/tailscale/web-client-prebuilt	v0.0.0-20250124233751-d4cd19a26976	modules/029-web-client-prebuilt-07820b1bb571-LICENSE.txt
github.com/tailscale/wireguard-go	v0.0.0-20260904023712-e855235c55a2	modules/030-wireguard-go-bac25f42121e-LICENSE.txt
github.com/u-root/u-root	v0.14.0	modules/031-u-root-7a385d987eb2-LICENSE.txt
github.com/x448/float16	v0.8.4	modules/032-float16-bf5b0184ba5e-LICENSE.txt
go4.org/mem	v0.0.0-20240501181205-ae6ca9944745	modules/033-mem-92e576d264da-LICENSE.txt
go4.org/netipx	v0.0.0-20260823151212-3075585bcbeb	modules/034-netipx-1d5be5e8481e-LICENSE.txt
golang.org/x/crypto	v0.57.0	modules/035-crypto-0679ec780e4b-LICENSE.txt,modules/035-crypto-0679ec780e4b-PATENTS.txt
golang.org/x/exp	v0.0.0-20260410095643-746e56fc9e2f	modules/036-exp-3c28872f4c09-LICENSE.txt,modules/036-exp-3c28872f4c09-PATENTS.txt
golang.org/x/net	v0.59.0	modules/037-net-33b8c61c6b8a-LICENSE.txt,modules/037-net-33b8c61c6b8a-PATENTS.txt
golang.org/x/sync	v0.23.0	modules/038-sync-ebe0252705d0-LICENSE.txt,modules/038-sync-ebe0252705d0-PATENTS.txt
golang.org/x/sys	v0.48.0	modules/039-sys-2a81efe5fc81-LICENSE.txt,modules/039-sys-2a81efe5fc81-PATENTS.txt
golang.org/x/term	v0.46.0	modules/040-term-11bfcf1bc0c4-LICENSE.txt,modules/040-term-11bfcf1bc0c4-PATENTS.txt
golang.org/x/text	v0.42.0	modules/041-text-530a556028a3-LICENSE.txt,modules/041-text-530a556028a3-PATENTS.txt
golang.org/x/time	v0.15.0	modules/042-time-45c2972ee85c-LICENSE.txt,modules/042-time-45c2972ee85c-PATENTS.txt
golang.zx2c4.com/wintun	v0.0.0-20230126152724-0fa3db229ce2	modules/043-wintun-064e3bbb0855-LICENSE.txt
golang.zx2c4.com/wireguard/windows	v0.5.3	modules/044-windows-7a157b2a476f-COPYING.txt
gvisor.dev/gvisor	v0.0.0-20260224225140-573d5e7127a8	modules/045-gvisor-9d357cb5efaa-LICENSE.txt
tailscale.com	v1.103.0-pre.0.20260904030409-31d8badb3bfb	modules/046-tailscale.com-f14ce89e49f1-LICENSE.txt,modules/046-tailscale.com-f14ce89e49f1-PATENTS.txt
Go standard library/runtime	go1.27.1	go/LICENSE.txt,go/PATENTS.txt
